block	model	mirror	angle	time	response	time2	diff	type
main	Modell13A	mirroredY225	21	1712214.7	2	1714343.5	2128.8	rm_hit
main	Modell4A	mirroredZ90	10	1714864.3	2	1717256.8	2392.5	rm_hit
main	Modell16B	mirroredZ135	14	1717780.6	1	1720109.2	2328.6	rm_hit
main	Modell8B	mirroredZ90	10	1720630.2	1	1725721.8	5091.6	rm_hit
main	Modell5B	mirroredY180	17	1726246	1	1730478.8	4232.8	rm_hit
main	Modell1A	mirroredY0	2	1731012	2	1732282.1	1270.1	rm_hit
main	Modell2B	mirroredZ135	14	1732811.7	1	1736806	3994.3	rm_hit
main	Modell12B	mirroredZ45	6	1737327.7	1	1738792.9	1465.2	rm_hit
main	Modell1A	mirroredZ90	10	1739327.4	2	1747461.4	8134	rm_hit
main	Modell10B	mirroredZ225	22	1747992.8	1	1750222	2229.2	rm_hit
main	Modell15B	originalY180	15	1750742.4	1	1753135.2	2392.8	rm_incorrect
main	Modell10A	mirroredZ135	14	1753658.6	2	1757647.9	3989.3	rm_hit
main	Modell7B	originalZ135	12	1758174.6	2	1760978.8	2804.2	rm_hit
main	Modell9A	mirroredZ180	18	1761507.5	2	1763587.1	2079.6	rm_hit
main	Modell8A	mirroredZ225	22	1764123.8	2	1766621.9	2498.1	rm_hit
main	Modell6A	mirroredZ90	10	1767156.6	2	1769392.7	2236.1	rm_hit
main	Modell6B	mirroredZ180	18	1769922.9	1	1773029.3	3106.4	rm_hit
main	Modell1A	mirroredZ45	6	1773555.7	2	1775494.4	1938.7	rm_hit
main	Modell6A	originalZ270	24	1776022	1	1777613.5	1591.5	rm_hit
main	Modell1A	originalY135	11	1778138.4	1	1782320.1	4181.7	rm_hit
main	Modell9A	originalZ225	20	1782854.3	1	1784530.9	1676.6	rm_hit
main	Modell9B	mirroredZ45	6	1785054	1	1786578.7	1524.7	rm_hit
main	Modell16B	originalY225	19	1787103.7	2	1790999.5	3895.8	rm_hit
main	Modell15B	originalZ315	28	1791519.7	2	1794249.2	2729.5	rm_hit
main	Modell7A	mirroredY135	13	1794785.9	2	1797967.1	3181.2	rm_hit
main	Modell15B	originalY90	7	1798502	2	1800860.3	2358.3	rm_hit
main	Modell6B	mirroredZ45	6	1801384.9	1	1802785.7	1400.8	rm_hit
main	Modell10A	originalY135	11	1803318	1	1806575.2	3257.2	rm_hit
